Title,Author Info,Abstract
Self‐healing materials,"MD Hager, P Greil, C Leyens… - … Materials, 2010 - Wiley Online Library","… ’ reliability and, thus, revolutionise component construction and design. Moreover, the 
extension of the lifetime of critical components, for example in constructions for alternative energy …"
Self-healing cementitious materials: A review of recent work,"C Joseph, D Gardner, T Jefferson… - … -Construction …, 2011 - icevirtuallibrary.com","… The self-healing materials discussed in this review fall under the category of smart structures, 
as indicated in Figure 1. Smart structures are engineered composites of conventional …"
Recent advances in chitosan-based self-healing materials,"F Ding, H Li, Y Du, X Shi - Research on Chemical Intermediates, 2018 - Springer","… Over the past few decades, self-healing materials derived from … properties related to their 
self-healing ability, biodegradability, … to fabricate self-healing materials by constructing non-…"
Self healing concrete: a biological approach,"HM Jonkers - Self healing materials: an alternative approach to 20 …, 2007 - Springer","… construction. If so, the bacterial approach can successfully compete with other (abiotic) self 
healing … bacteria comply with all the listed characteristics of the most ideal self healing agent. …"
A review: Self-healing in cementitious materials and engineered cementitious composite as a self-healing material,"M Wu, B Johannesson, M Geiker - Construction and Building Materials, 2012 - Elsevier","… Development of artificial self-healing materials is inspired by different materials in our nature. 
A typical example of self-healing phenomenon is damaged skins of trees and animals can …"
Self-Healing materials–A review,"D Jayabalakrishnan, DBN Muruga, K Bhaskar… - Materials Today …, 2021 - Elsevier","… This paper discusses different types of Self-Healing Materials in depth and application of … 
Self-Healing Materials also placed major role in the industries especially in the construction …"
Review of road materials self-healing: problems and perspective,"S Inozemtcev, E Korolev - IOP conference series: materials …, 2020 - iopscience.iop.org","… self-healing technology in the field of road materials. A mathematical interpretation of the 
destruction model of self-healing materials … indicators of self-healing materials for construction, …"
Self‐healing functional electronic devices,"Y Gai, H Li, Z Li - Small, 2021 - Wiley Online Library","… self-healing materials emerged as the time requires for constructing robust and self-healing … 
in terms of commonly-used self-healing materials, self-healing mechanisms, device design …"
Self-healing materials and structures for geotechnical and geo-environmental applications,"A Al-Tabbaa, MJ Harbottle - 2015 - icevirtuallibrary.com","… ABSTRACT The nature-inspired concept of self-healing materials in construction is relatively 
new and has recently attracted significant attention as this could bring about substantial …"
"[HTML][HTML] Self-healing materials: A review of advances in materials, evaluation, characterization and monitoring techniques","DG Bekas, K Tsirka, D Baltzis, AS Paipetis - Composites Part B …, 2016 - Elsevier","… The construction of self-healing materials with embedded ternary interpenetrating microvascular 
networks by direct-write assembly of fugitive inks has been reported by Hansen and his …"
State of art review on applications and mechanism of self-healing materials and structure,"EK Kumar, SS Patel, V Kumar, SK Panda… - … Methods in Engineering, 2023 - Springer","… In 2017, the essential applications for self-healing materials were building and construction 
in the whole industry, accounting for 27.4% of the total market, as mentioned by Idumah [5]. …"
A review on self‐healing polymers for applications in spacecraft and construction of roads,"M Goyal, SN Agarwal… - Journal of Applied Polymer …, 2022 - Wiley Online Library","… So, self-healing material is the solution to these cases because these self-healing materials 
have the ability to heal cracks, and increase the fatigue life. Hamilton et al. looked on the …"
Self-healing technology for asphalt pavements,"A Tabaković, E Schlangen - Self-healing materials, 2016 - Springer","… The excellent durability of self-healing materials does not arise … of designing materials 
with “self-healing” capabilities. … road construction and design and bring the idea of self-healing …"
Current trends in the field of self‐healing materials,"NK Guimard, KK Oehlenschlaeger… - Macromolecular …, 2012 - Wiley Online Library","… of self-healing materials. The focus of the current Trend Article is to discuss the important 
aspects of and trends in the relatively new field of self-healing materials … the construction and …"
[HTML][HTML] Self-healing concrete as a prospective construction material: a review,"M Amran, AM Onaizi, R Fediuk, NI Vatin… - Materials, 2022 - mdpi.com","… Concrete is a material that is widely used in the construction market due to its … in self-healing 
materials, particularly self-healing capabilities in green and sustainable concrete materials, …"
Systems Chemistry in Self‐Healing Materials,"P Li, J Hao, X Wang - ChemSystemsChem, 2021 - Wiley Online Library","… but it represents a way similar to the self‐healing in biological systems, which is … materials 
are discussed. We hope that it would be an inspiration for creating smart self‐healing materials …"
Layer-by-Layer approaches for formation of smart self-healing materials,"EV Skorb, DV Andreeva - Polymer Chemistry, 2013 - pubs.rsc.org","… the methods of construction of “smart” materials with self-healing functions. LbL approaches 
for construction of an artificial self-healing material is an emerging field of materials science, …"
Is concrete healing really efficient? A review,"A Sidiq, R Gravina, F Giustozzi - Construction and Building Materials, 2019 - Elsevier","… Self-healing materials embedded in cementitious materials is emerging … self-healing 
materials and their efficiency. Finally, a conceptual life-cycle cost for conventional and self-healing …"
[HTML][HTML] Self-healing of microcapsule-based materials for highway construction: A review,"E Ma, X Chen, J Lai, X Kong, C Guo - Journal of Traffic and Transportation …, 2023 - Elsevier","… The practical significance of self-healing materials in highway … For future-proofing, a material 
evaluation system that fits the … of microcapsule-based self-healing materials for upcoming …"
Self-healing materials: A pathway to immortal products or a risk to circular economy systems?,"M Haines-Gadd, F Charnley… - Journal of Cleaner …, 2021 - Elsevier","… Explorations within the field of engineering are primarily aerospace and construction 
focused and few examine this from a design perspective. Though potential applications are …"
[HTML][HTML] Self-healing materials systems: Overview of major approaches and recent developed technologies,"B Aïssa, D Therriault, E Haddad… - Advances in Materials …, 2012 - hindawi.com","… The development of self-healing materials … self-healing materials has increased markedly 
in recent years. Figure 1 shows how the number of refereed various articles in the self healing …"
Self-healing structural materials,"S An, SS Yoon, MW Lee - Polymers, 2021 - mdpi.com","… of applications for self-healing materials, novel strategies and new materials are being … to 
integrate these self-healing materials into full-fledged structures on real construction sites are …"
[PDF][PDF] Assessment of various self healing materials to enhance the durability of concrete structures,"CSS Durga, N Ruben - Ann. Chim.-Sci. Matér, 2019 - researchgate.net","… of self healing material to concrete is briefed. Through this study the rate of self healing, … 
Concrete is one of the multifaceted construction material used widely in the world. It is a …"
Genetically-enriched microbe-facilitated self-healing concrete–a sustainable material for a new generation of construction technology,"M Sarkar, D Adak, A Tamang, B Chattopadhyay… - RSC …, 2015 - pubs.rsc.org","… periods to develop a new self-healing material. A comparative … ) and self-healing attributes 
of bio-concrete/mortar materials … subtilis bacteria respectively to cementitious material. The …"
Preparation and characterization of novel light induced self-healing materials for cracks in asphalt pavements,"R Li, J Chen, T Zhou, J Pei - Construction and Building Materials, 2016 - Elsevier","… self-healing material upon exposure to UV light. In this work, the OXE-CHI-PUR networks 
self-healing … It is a kind of asphalt crack self-healing material upon exposure to UV light. Fourier …"
Evaluation method of healing performance of self-healing materials based on equivalent crack width,"WJ Lee, HS Kim, S Choi, BS Park… - … Recycled Construction …, 2021 - koreascience.kr","… to evaluate self-healing performance of mortars containing inorganic healing materials which 
… On constant head water permeability test for self-healing mortars, unit water flow rate of …"
Highly stretchable and stretch-induced fluorescence chromism self-healing materials based on boroxine and dynamic imine bond,"J Wang, J Lai, X Jia - Journal of Materials Chemistry C, 2022 - pubs.rsc.org","… Thus, it is quite suitable to construct various functional stretchable self-healing materials, 
and these will be an excellent choice for constructing self-healing luminescent polymers by …"
[HTML][HTML] In-situ self-crosslinking strategy for autonomous self-healing materials,"Y Song, A Kong, D Chen, GL Li - npj Materials Degradation, 2023 - nature.com","… In this work, in-situ self-crosslinking strategy was demonstrated for constructing self-healing 
anticorrosion polymers. The as-synthesized polymers had tunable catechol content and …"
Novel Strategy of Constructing Hollow Ga2O3@N-CQDs as a Self-Healing Anode Material for Lithium-Ion Batteries,"J Guo, F Gao, D Li, X Luo, Y Sun, X Wang… - ACS Sustainable …, 2020 - ACS Publications","… design offers new insights into the structure-building construction of self-healing materials. … 
design offers new insights into the structure building construction of self-healing materials. …"
[PDF][PDF] A study on the new water leak repair method for subway tunnels using crack self-healing repair materials,"T Murakami, TH Ahn, T Hashimoto… - J. Ceram …, 2015 - icshm2015.pratt.duke.edu","… construction in an existing subway tunnel to stop water leaking from cracks, using self-healing 
materials. … The self-healing materials used in this study contained CSA expansive agent, …"
