Title,Abstract,Journal,Language,Year,Month
Self-Healing Concrete as a Prospective Construction Material: A Review.,"Concrete is a material that is widely used in the construction market due to its availability and cost, although it is prone to fracture formation. Therefore, there has been a surge in interest in self-healing materials, particularly self-healing capabilities in green and sustainable concrete materials, with a focus on different techniques offered by dozens of researchers worldwide in the last two decades. However, it is difficult to choose the most effective approach because each research institute employs its own test techniques to assess healing efficiency. Self-healing concrete (SHC) has the capacity to heal and lowers the requirement to locate and repair internal damage (e.g., cracks) without the need for external intervention. This limits reinforcement corrosion and concrete deterioration, as well as lowering costs and increasing durability. Given the merits of SHCs, this article presents a thorough review on the subject, considering the strategies, influential factors, mechanisms, and efficiency of self-healing. This literature review also provides critical synopses on the properties, performance, and evaluation of the self-healing efficiency of SHC composites. In addition, we review trends of development in research toward a broad understanding of the potential application of SHC as a superior concrete candidate and a turning point for developing sustainable and durable concrete composites for modern construction today. Further, it can be imagined that SHC will enable builders to construct buildings without fear of damage or extensive maintenance. Based on this comprehensive review, it is evident that SHC is a truly interdisciplinary hotspot research topic integrating chemistry, microbiology, civil engineering, material science, etc. Furthermore, limitations and future prospects of SHC, as well as the hotspot research topics for future investigations, are also successfully highlighted.","Materials (Basel, Switzerland)",eng,2022,Apr
Self-Healing Hydrogel Embodied with Macrophage-Regulation and Responsive-Gene-Silencing Properties for Synergistic Prevention of Peritendinous Adhesion.,"Antiadhesion barriers such as films and hydrogels used to wrap repaired tendons are important for preventing the formation of adhesion tissue after tendon surgery. However, sliding of the tendon can compress the adjacent hydrogel barrier and cause it to rupture, which may then lead to unexpected inflammation. Here, a self-healing and deformable hyaluronic acid (HA) hydrogel is constructed as a peritendinous antiadhesion barrier. Matrix metalloproteinase-2 (MMP-2)-degradable gelatin-methacryloyl (GelMA) microspheres (MSs) encapsulated with Smad3-siRNA nanoparticles are entrapped within the HA hydrogel to inhibit fibroblast proliferation and prevent peritendinous adhesion. GelMA MSs are responsively degraded by upregulation of MMP-2, achieving on-demand release of siRNA nanoparticles. Silencing effect of Smad3-siRNA nanoparticles is around 75% toward targeted gene. Furthermore, the self-healing hydrogel shows relatively attenuated inflammation compared to non-healing hydrogel. The mean adhesion scores of composite barrier group are 1.67 ± 0.51 and 2.17 ± 0.75 by macroscopic and histological evaluation, respectively. The proposed self-healing hydrogel antiadhesion barrier with MMP-2-responsive drug release behavior is highly effective for decreasing inflammation and inhibiting tendon adhesion. Therefore, this research provides a new strategy for the development of safe and effective antiadhesion barriers.","Advanced materials (Deerfield Beach, Fla.)",eng,2022,Feb
pH/Glucose Dual Responsive Metformin Release Hydrogel Dressings with Adhesion and Self-Healing via Dual-Dynamic Bonding for Athletic Diabetic Foot Wound Healing.,"In view of the lack of a specific drug-sustained release system that is responsive to chronic wounds of the type II diabetic foot, and the demands for frequent movement at the foot wound, pH/glucose dual-responsive metformin-released adhesion-enhanced self-healing easy-removable antibacterial antioxidant conductive hemostasis multifunctional phenylboronic acid and benzaldehyde bifunctional polyethylene glycol-<i>co</i>-poly(glycerol sebacic acid)/dihydrocaffeic acid and l-arginine cografted chitosan (PEGS-PBA-BA/CS-DA-LAG, denoted as PC) hydrogel dressings were constructed based on the double dynamic bond of the Schiff-base and phenylboronate ester. It was further demonstrated that the PC hydrogel promotes wound healing by reducing inflammation and enhancing angiogenesis in a rat type II diabetic foot model. In addition, the addition of metformin (Met) and graphene oxide (GO), as well as their synergy, were confirmed to better promote wound repair <i>in vivo</i>. In summary, adhesion-enhanced self-healing multifunctional PC/GO/Met hydrogels with stimuli-responsive metformin release ability and easy removability have shown a promoting effect on the healing of chronic athletic diabetic wounds and provide a local-specific drug dual-response release strategy for the treatment of type II diabetic feet.",ACS nano,eng,2022,Feb
Recent Advances in Intrinsic Self-Healing Cementitious Materials.,"Self-healing is a natural phenomenon whereby living organisms respond to damage. Recently, considerable research efforts have been invested in self-healing cementitious materials that are capable of restoring structural integrity and mechanical properties after being damaged. Inspired by nature, a variety of creative approaches are explored here based on the intrinsic or extrinsic healing mechanism. Research on new intrinsic self-healing cementitious materials with biomimetic features is on the forefront of material science, which provides a promising way to construct resilient and sustainable concrete infrastructures. Here, the current advances in the development of the intrinsic healing cementitious materials are described, and a new definition of intrinsic self-healing discussed. The methods to assess the efficiency of different healing mechanisms are briefly summarized. The critical insights are emphasized to guide the future research on the development of new self-healing cementitious materials.","Advanced materials (Deerfield Beach, Fla.)",eng,2018,Apr
Self-Healing Mechanism of Lithium in Lithium Metal.,"Li is an ideal anode material for use in state-of-the-art secondary batteries. However, Li-dendrite growth is a safety concern and results in low coulombic efficiency, which significantly restricts the commercial application of Li secondary batteries. Unfortunately, the Li-deposition (growth) mechanism is poorly understood on the atomic scale. Here, machine learning is used to construct a Li potential model with quantum-mechanical computational accuracy. Molecular dynamics simulations in this study with this model reveal two self-healing mechanisms in a large Li-metal system, viz. surface self-healing, and bulk self-healing. It is concluded that self-healing occurs rapidly in nanoscale; thus, minimizing the voids between the Li grains using several comprehensive methods can effectively facilitate the formation of dendrite-free Li.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",eng,2022,Apr
Advances in multifunctional chitosan-based self-healing hydrogels for biomedical applications.,"Multifunctional self-healing hydrogels have recently attracted considerable interest in biomedical applications owing to their diverse properties, including self-healing, adhesion, conduction, antibacterial, and stimulus-response, which can meet various application requirements, ranging from wound dressings and delivery vehicles to the production of scaffolds for tissue repair and regeneration. As a natural polycationic polysaccharide with good biocompatibility, chitosan is widely used in hydrogel formation as there are many amino and hydroxyl groups along the chains that can actively participate in various physical effects and chemical reactions, which enable it to construct self-healing hydrogels and fulfill multiple functions. In this review, the formation of chitosan-based self-healing hydrogels and the related self-healing mechanism are summarized, including Schiff base, metal coordination, ionic and hydrogen bonds, hydrophobic and host-guest interactions, with a focus on the strategies for their multi-functionalization. In the last section, the applications of the chitosan-based self-healing hydrogels in the fields of wound dressings, delivery vehicles, scaffolds, and biological sensors are discussed. Overall, it is highly expected that this review could provide an insight into the prospective development of multifunctional self-healing hydrogels for biomedical applications.",Journal of materials chemistry. B,eng,2021,Oct
The role of natural polymers in bone tissue engineering.,"Bone is a dynamic self-healing organ and a continuous remodeling ensures the restoration of the bone structure and function over time. However, bone remodeling is not able to repair large traumatic injuries. Therefore, surgical interventions and bone substitutes are required. The aim of bone tissue engineering is to repair and regenerate tissues and engineered a bone graft as a bone substitute. To met this goal, several natural or synthetic polymers have been used to develop a biocompatible and biodegradable polymeric construct. Among the polymers, natural polymers have higher biocompatibility, excellent biodegradability, and no toxicity. So far, collagen, chitosan, gelatin, silk fibroin, alginate, cellulose, and starch, alone or in combination, have been widely used in bone tissue engineering. These polymers have been used as scaffolds, hydrogels, and micro-nanospheres. The functionalization of the polymer with growth factors and bioactive glasses increases the potential use of polymers for bone regeneration. As bone is a dynamic highly vascularized tissue, the vascularization of the polymeric scaffolds is vital for successful bone regeneration. Several in vivo and in vitro strategies have been used to vascularize the polymeric scaffolds. In this review, the application of the most commonly used natural polymers is discussed.",Journal of controlled release : official journal of the Controlled Release Society,eng,2021,Oct
Prolonged in situ self-healing in structural composites via thermo-reversible entanglement.,"Natural processes continuously degrade a material's performance throughout its life cycle. An emerging class of synthetic self-healing polymers and composites possess property-retaining functions with the promise of longer lifetimes. But sustained in-service repair of structural fiber-reinforced composites remains unfulfilled due to material heterogeneity and thermodynamic barriers in commonly cross-linked polymer-matrix constituents. Overcoming these inherent challenges for mechanical self-recovery is vital to extend in-service operation and attain widespread adoption of such bioinspired structural materials. Here we transcend existing obstacles and report a fiber-composite capable of minute-scale and prolonged in situ healing - 100 cycles: an order of magnitude higher than prior studies. By 3D printing a mendable thermoplastic onto woven glass/carbon fiber reinforcement and co-laminating with electrically resistive heater interlayers, we achieve in situ thermal remending of internal delamination via dynamic bond re-association. Full fracture recovery occurs below the glass-transition temperature of the thermoset epoxy-matrix composite, thus preserving stiffness during and after repair. A discovery of chemically driven improvement in thermal remending of glass- over carbon-fiber composites is also revealed. The marked lifetime extension offered by this self-healing strategy mitigates costly maintenance, facilitates repair of difficult-to-access structures (e.g., wind-turbine blades), and reduces part replacement, thereby benefiting economy and environment.",Nature communications,eng,2022,Oct
Biomimetic Self-Healing Cementitious Construction Materials for Smart Buildings.,"Climate change is anticipated to have a major impact on concrete structures through increasing rates of deterioration as well the impacts of extreme weather events. The deterioration can affect directly or indirectly climate change in addition to the variation in the carbon dioxide concentration, temperature and relative humidity. The deterioration that occurs from the very beginning of the service not only reduces the lifespan of the concretes but also demands more cement to maintain the durability. Meanwhile, the repair process of damaged parts is highly labor intensive and expensive. Thus, the self-healing of such damages is essential for the environmental safety and energy cost saving. The design and production of the self-healing as well as sustainable concretes are intensely researched within the construction industries. Based on these factors, this article provides the materials and methods required for a comprehensive assessment of self-healing concretes. Past developments, recent trends, environmental impacts, sustainability, merits and demerits of several methods for the production of self-healing concrete are discussed and analyzed.","Biomimetics (Basel, Switzerland)",eng,2020,Oct
Advances in Injectable and Self-healing Polysaccharide Hydrogel Based on the Schiff Base Reaction.,"Injectable hydrogel possesses great application potential in disease treatment and tissue engineering, but damage to gel often occurs due to the squeezing pressure from injection devices and the mechanical forces from limb movement, and leads to the rapid degradation of gel matrix and the leakage of the load material. The self-healing injectable hydrogels can overcome these drawbacks via automatically repairing gel structural defects and restoring gel function. The polysaccharide hydrogels constructed through the Schiff base reaction own advantages including simple fabrication, injectability, and self-healing under physiological conditions, and therefore have drawn extensive attention and investigation recently. In this short review, the preparation and self-healing properties of the polysaccharide hydrogels that is established on the Schiff base reaction are focused on and their biological applications in drug delivery and cell therapy are discussed.",Macromolecular rapid communications,eng,2021,May
