Title,Abstract,Journal,Language,Year,Month
Self-Healing Mechanism of Lithium in Lithium Metal.,"Li is an ideal anode material for use in state-of-the-art secondary batteries. However, Li-dendrite growth is a safety concern and results in low coulombic efficiency, which significantly restricts the commercial application of Li secondary batteries. Unfortunately, the Li-deposition (growth) mechanism is poorly understood on the atomic scale. Here, machine learning is used to construct a Li potential model with quantum-mechanical computational accuracy. Molecular dynamics simulations in this study with this model reveal two self-healing mechanisms in a large Li-metal system, viz. surface self-healing, and bulk self-healing. It is concluded that self-healing occurs rapidly in nanoscale; thus, minimizing the voids between the Li grains using several comprehensive methods can effectively facilitate the formation of dendrite-free Li.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",eng,2022,Apr
Repair mechanism and application of self-healing materials for food preservation.,"The traditional packaging concept has reached its limits when it comes to ensuring the quality of food and extending its shelf life. Compared to traditional packaging materials, food packaging with self-healing function is becoming more and more popular. This is because they can automatically repair the damaged area, restore the original properties and prevent the decline of food quality and loss of nutrients. Materials based on various self-healing mechanisms have been developed and used on a laboratory scale in the form of coatings and films for food packaging. However, more efforts are needed for the commercial application of these new self-healing packaging materials. Understanding the self-healing mechanism of these packaging materials is very important for their commercial application. This article first discusses the self-healing mechanism of different packaging materials and compares the self-healing efficiency of self-healing materials under different conditions. Then, the application potential of self-healing coatings and films in the food industry is systematically analyzed. Finally, we give an outlook on the application of self-healing materials in the field of food packaging.",Critical reviews in food science and nutrition,eng,2023,Jul
Recent Advances in Intrinsic Self-Healing Cementitious Materials.,"Self-healing is a natural phenomenon whereby living organisms respond to damage. Recently, considerable research efforts have been invested in self-healing cementitious materials that are capable of restoring structural integrity and mechanical properties after being damaged. Inspired by nature, a variety of creative approaches are explored here based on the intrinsic or extrinsic healing mechanism. Research on new intrinsic self-healing cementitious materials with biomimetic features is on the forefront of material science, which provides a promising way to construct resilient and sustainable concrete infrastructures. Here, the current advances in the development of the intrinsic healing cementitious materials are described, and a new definition of intrinsic self-healing discussed. The methods to assess the efficiency of different healing mechanisms are briefly summarized. The critical insights are emphasized to guide the future research on the development of new self-healing cementitious materials.","Advanced materials (Deerfield Beach, Fla.)",eng,2018,Apr
The Versatility of Polymeric Materials as Self-Healing Agents for Various Types of Applications: A Review.,"The versatility of polymeric materials as healing agents to prevent any structure failure and their ability to restore their initial mechanical properties has attracted interest from many researchers. Various applications of the self-healing polymeric materials are explored in this paper. The mechanism of self-healing, which includes the extrinsic and intrinsic approaches for each of the applications, is examined. The extrinsic mechanism involves the introduction of external healing agents such as microcapsules and vascular networks into the system. Meanwhile, the intrinsic mechanism refers to the inherent reversibility of the molecular interaction of the polymer matrix, which is triggered by the external stimuli. Both self-healing mechanisms have shown a significant impact on the cracked properties of the damaged sites. This paper also presents the different types of self-healing polymeric materials applied in various applications, which include electronics, coating, aerospace, medicals, and construction fields. It is expected that this review gives a significantly broader idea of self-healing polymeric materials and their healing mechanisms in various types of applications.",Polymers,eng,2021,Apr
Transformation of Construction Cement to a Self-Healing Hybrid Binder.,"A new biomimetic strategy to im prove the self-healing properties of Portland cement is presented that is based on the application of the biogenic inorganic polymer polyphosphate (polyP), which is used as a cement admixture. The data show that synthetic linear polyp, with an average chain length of 40, as well as natural long-chain polyP isolated from soil bacteria, has the ability to support self-healing of this construction material. Furthermore, polyP, used as a water-soluble Na-salt, is subject to Na<sup>+</sup>/Ca<sup>2+</sup> exchange by the Ca<sup>2+</sup> from the cement, resulting in the formation of a water-rich coacervate when added to the cement surface, especially to the surface of bacteria-containing cement/concrete samples. The addition of polyP in low concentrations (<1% on weight basis for the solids) not only accelerated the hardening of cement/concrete but also the healing of microcracks present in the material. The results suggest that long-chain polyP is a promising additive that increases the self-healing capacity of cement by mimicking a bacteria-mediated natural mechanism.",International journal of molecular sciences,eng,2019,Jun
Thermoresponsive Gels.,"Thermoresponsive gelling materials constructed from natural and synthetic polymers can be used to provide triggered action and therefore customised products such as drug delivery and regenerative medicine types as well as for other industries. Some materials give Arrhenius-type viscosity changes based on coil to globule transitions. Others produce more counterintuitive responses to temperature change because of agglomeration induced by enthalpic or entropic drivers. Extensive covalent crosslinking superimposes complexity of response and the upper and lower critical solution temperatures can translate to critical volume temperatures for these swellable but insoluble gels. Their structure and volume response confer advantages for actuation though they lack robustness. Dynamic covalent bonding has created an intermediate category where shape moulding and self-healing variants are useful for several platforms. Developing synthesis methodology-for example, Reversible Addition Fragmentation chain Transfer (RAFT) and Atomic Transfer Radical Polymerisation (ATRP)-provides an almost infinite range of materials that can be used for many of these gelling systems. For those that self-assemble into micelle systems that can gel, the upper and lower critical solution temperatures (UCST and LCST) are analogous to those for simpler dispersible polymers. However, the tuned hydrophobic-hydrophilic balance plus the introduction of additional pH-sensitivity and, for instance, thermochromic response, open the potential for coupled mechanisms to create complex drug targeting effects at the cellular level.","Gels (Basel, Switzerland)",eng,2017,Jan
Effect and Mechanism of Encapsulation-Based Spores on Self-Healing Concrete at Different Curing Ages.,"It has become an intelligent and environmental protection method to repair concrete cracks based on microbial-induced calcium carbonate precipitation (MICP). However, due to the high-alkali environment in concrete, even the microbial spores with strong alkali resistance find it difficult to survive for a long time, which affects the long-term self-healing effect of concrete cracks. In this paper, low-alkali sulfo-aluminate cement (SC) was used as a carrier to encapsulate spores, and the effects of the spore group and microbial group on the basic performances of concrete were studied. Then, the area repair ratio, water permeability, the repair ratio of anti-chloride ion penetration, and ultrasonic velocity were used to evaluate the self-healing efficiency of cracks, and the self-healing effects of two kinds of microbial self-healing agents on concrete cracks with different curing ages were further studied. Moreover, the growth, enzyme activity, and microbial morphologies of spores with and without encapsulation immersed in the simulated pore solution of cement-based materials at different times were studied to discuss the protective effect of the carrier on spores. Compared with the reference group, the results showed that the addition of two microbial self-healing agents would slightly affect the basic performances of concrete, but both were within the control range of concrete materials. For the early-age cracks, the two kinds of microbial self-healing agents could achieve a good self-healing effect, but for the later-age cracks, the concrete cracks of the microbial group could still be repaired well, while the self-healing effect of the spore group was greatly reduced. Moreover, the white precipitates generated at the crack mouth were all calcite CaCO<sub>3</sub>. In addition, the self-healing mechanism of different microbial self-healing agents on concrete cracks was discussed carefully. This study provides a new idea and method for the engineering application of microbial self-healing concrete.",ACS applied materials & interfaces,eng,2020,Nov
Self-healing of early age cracks in cement-based materials by mineralization of carbonic anhydrase microorganism.,"This research investigated the self-healing potential of early age cracks in cement-based materials incorporating the bacteria which can produce carbonic anhydrase. Cement-based materials specimens were pre-cracked at the age of 7, 14, 28, 60 days to study the repair ability influenced by cracking time, the width of cracks were between 0.1 and 1.0 mm to study the healing rate influenced by width of cracks. The experimental results indicated that the bacteria showed excellent repairing ability to small cracks formed at early age of 7 days, cracks below 0.4 mm was almost completely closed. The repair effect reduced with the increasing of cracking age. Cracks width influenced self-healing effectiveness significantly. The transportation of CO2and Ca(2+) controlled the self-healing process. The computer simulation analyses revealed the self-healing process and mechanism of microbiologically precipitation induced by bacteria and the depth of precipitated CaCO3 could be predicted base on valid Ca(2+).",Frontiers in microbiology,eng,2015,No Data
Self-Healing Concrete as a Prospective Construction Material: A Review.,"Concrete is a material that is widely used in the construction market due to its availability and cost, although it is prone to fracture formation. Therefore, there has been a surge in interest in self-healing materials, particularly self-healing capabilities in green and sustainable concrete materials, with a focus on different techniques offered by dozens of researchers worldwide in the last two decades. However, it is difficult to choose the most effective approach because each research institute employs its own test techniques to assess healing efficiency. Self-healing concrete (SHC) has the capacity to heal and lowers the requirement to locate and repair internal damage (e.g., cracks) without the need for external intervention. This limits reinforcement corrosion and concrete deterioration, as well as lowering costs and increasing durability. Given the merits of SHCs, this article presents a thorough review on the subject, considering the strategies, influential factors, mechanisms, and efficiency of self-healing. This literature review also provides critical synopses on the properties, performance, and evaluation of the self-healing efficiency of SHC composites. In addition, we review trends of development in research toward a broad understanding of the potential application of SHC as a superior concrete candidate and a turning point for developing sustainable and durable concrete composites for modern construction today. Further, it can be imagined that SHC will enable builders to construct buildings without fear of damage or extensive maintenance. Based on this comprehensive review, it is evident that SHC is a truly interdisciplinary hotspot research topic integrating chemistry, microbiology, civil engineering, material science, etc. Furthermore, limitations and future prospects of SHC, as well as the hotspot research topics for future investigations, are also successfully highlighted.","Materials (Basel, Switzerland)",eng,2022,Apr
Advances in multifunctional chitosan-based self-healing hydrogels for biomedical applications.,"Multifunctional self-healing hydrogels have recently attracted considerable interest in biomedical applications owing to their diverse properties, including self-healing, adhesion, conduction, antibacterial, and stimulus-response, which can meet various application requirements, ranging from wound dressings and delivery vehicles to the production of scaffolds for tissue repair and regeneration. As a natural polycationic polysaccharide with good biocompatibility, chitosan is widely used in hydrogel formation as there are many amino and hydroxyl groups along the chains that can actively participate in various physical effects and chemical reactions, which enable it to construct self-healing hydrogels and fulfill multiple functions. In this review, the formation of chitosan-based self-healing hydrogels and the related self-healing mechanism are summarized, including Schiff base, metal coordination, ionic and hydrogen bonds, hydrophobic and host-guest interactions, with a focus on the strategies for their multi-functionalization. In the last section, the applications of the chitosan-based self-healing hydrogels in the fields of wound dressings, delivery vehicles, scaffolds, and biological sensors are discussed. Overall, it is highly expected that this review could provide an insight into the prospective development of multifunctional self-healing hydrogels for biomedical applications.",Journal of materials chemistry. B,eng,2021,Oct
